Episode,Steps,Reward,Success,Collision,Timeout,Moving_Success_Rate_50Ep,Epsilon,Avg_Loss
242,250,3.0002,0,0,1,0.12,0.05,0.173776
243,250,14.4698,0,0,1,0.12,0.05,0.137341
244,250,13.4135,0,0,1,0.1,0.05,0.17242
245,250,0.2014,0,0,1,0.1,0.05,0.169935
246,247,25.6057,1,0,0,0.12,0.05,0.173672
247,250,12.0229,0,0,1,0.12,0.05,0.136728
248,250,9.3553,0,0,1,0.12,0.05,0.198254
249,250,10.9259,0,0,1,0.12,0.05,0.136974
250,250,4.3255,0,0,1,0.12,0.05,0.161752
251,250,0.8948,0,0,1,0.12,0.05,0.189112
252,250,14.2621,0,0,1,0.12,0.05,0.173647
253,250,11.5257,0,0,1,0.12,0.05,0.136439
254,250,14.1324,0,0,1,0.12,0.05,0.190915
255,250,13.5352,0,0,1,0.12,0.05,0.169998
256,250,6.1343,0,0,1,0.12,0.05,0.18217
257,250,16.3007,0,0,1,0.12,0.05,0.191982
258,250,7.9101,0,0,1,0.12,0.05,0.179545
259,250,9.7858,0,0,1,0.12,0.05,0.207752
260,250,7.0218,0,0,1,0.12,0.05,0.163858
261,250,7.4047,0,0,1,0.12,0.05,0.176959
262,250,10.4647,0,0,1,0.12,0.05,0.152502
263,205,22.3087,1,0,0,0.14,0.05,0.190524
264,144,-5.9776,0,1,0,0.14,0.05,0.281286
265,213,22.0497,1,0,0,0.14,0.05,0.204077
266,250,12.3379,0,0,1,0.14,0.05,0.178596
267,198,-8.33,0,1,0,0.14,0.05,0.156319
268,250,10.7265,0,0,1,0.14,0.05,0.237744
269,250,7.6161,0,0,1,0.14,0.05,0.195297
270,126,-16.9849,0,1,0,0.14,0.05,0.255565
271,250,1.678,0,0,1,0.14,0.05,0.170756
272,250,11.6205,0,0,1,0.14,0.05,0.142326
273,250,-4.6365,0,0,1,0.14,0.05,0.161499
274,203,25.9771,1,0,0,0.16,0.05,0.300539
275,250,14.1357,0,0,1,0.14,0.05,0.168396
276,250,3.4089,0,0,1,0.14,0.05,0.194807
277,250,-2.7556,0,0,1,0.14,0.05,0.199255
278,250,7.5302,0,0,1,0.14,0.05,0.183507
279,250,-3.5843,0,0,1,0.14,0.05,0.232286
280,250,10.0704,0,0,1,0.12,0.05,0.199766
281,250,11.5998,0,0,1,0.12,0.05,0.224401
282,174,-20.4762,0,1,0,0.12,0.05,0.204958
283,250,18.0632,0,0,1,0.12,0.05,0.301527
284,250,10.9625,0,0,1,0.12,0.05,0.214905
285,250,6.8886,0,0,1,0.12,0.05,0.19733
286,250,-0.0698,0,0,1,0.12,0.05,0.393123
287,250,9.2304,0,0,1,0.1,0.05,0.283578
288,250,0.6164,0,0,1,0.1,0.05,0.13645
289,250,9.6735,0,0,1,0.1,0.05,0.189397
290,250,13.4051,0,0,1,0.08,0.05,0.196808
291,250,-2.1974,0,0,1,0.08,0.05,0.239832
292,250,8.0443,0,0,1,0.08,0.05,0.176673
293,250,12.438,0,0,1,0.08,0.05,0.23801
294,250,1.1109,0,0,1,0.08,0.05,0.20918
295,250,18.2506,0,0,1,0.08,0.05,0.226975
296,128,-5.9712,0,1,0,0.06,0.05,0.167942
297,250,8.7154,0,0,1,0.06,0.05,0.218392
298,250,-10.1119,0,0,1,0.06,0.05,0.218167
299,223,1.032,0,1,0,0.06,0.05,0.303324
300,250,0.1242,0,0,1,0.06,0.05,0.286357
301,250,10.4975,0,0,1,0.06,0.05,0.183302
302,241,22.7567,1,0,0,0.08,0.05,0.191978
303,250,-8.6276,0,0,1,0.08,0.05,0.219089
304,250,-8.1067,0,0,1,0.08,0.05,0.179483
305,250,11.5135,0,0,1,0.08,0.05,0.185358
306,250,14.8357,0,0,1,0.08,0.05,0.203675
307,231,-3.4486,0,1,0,0.08,0.05,0.208935
308,229,-12.3011,0,1,0,0.08,0.05,0.180281
309,250,16.5787,0,0,1,0.08,0.05,0.220842
310,250,12.1108,0,0,1,0.08,0.05,0.192573
311,250,13.9279,0,0,1,0.08,0.05,0.238359
312,250,1.6198,0,0,1,0.08,0.05,0.257927
313,225,25.9019,1,0,0,0.08,0.05,0.236679
314,250,9.6728,0,0,1,0.08,0.05,0.187767
315,250,14.8085,0,0,1,0.06,0.05,0.201891
316,250,10.0449,0,0,1,0.06,0.05,0.224847
317,250,11.7845,0,0,1,0.06,0.05,0.241921
318,250,10.8331,0,0,1,0.06,0.05,0.210367
319,250,5.8332,0,0,1,0.06,0.05,0.273895
320,250,4.4217,0,0,1,0.06,0.05,0.156508
321,250,-2.0934,0,0,1,0.06,0.05,0.197936
322,250,-8.0935,0,0,1,0.06,0.05,0.238121
323,250,15.7243,0,0,1,0.06,0.05,0.20901
324,250,10.7909,0,0,1,0.04,0.05,0.171267
325,250,-3.193,0,0,1,0.04,0.05,0.246164
326,232,28.8057,1,0,0,0.06,0.05,0.177378
327,250,12.7196,0,0,1,0.06,0.05,0.21307
328,250,13.0465,0,0,1,0.06,0.05,0.192315
329,250,19.4018,0,0,1,0.06,0.05,0.190992
330,115,-4.7999,0,1,0,0.06,0.05,0.282849
331,250,17.7716,0,0,1,0.06,0.05,0.163589
332,250,-9.9463,0,0,1,0.06,0.05,0.308461
333,177,-20.1015,0,1,0,0.06,0.05,0.197882
334,140,-7.6124,0,1,0,0.06,0.05,0.315067
335,194,22.947,1,0,0,0.08,0.05,0.322686
336,250,9.5564,0,0,1,0.08,0.05,0.182288
337,153,-7.3302,0,1,0,0.08,0.05,0.258727
338,247,24.2382,1,0,0,0.1,0.05,0.16022
339,250,10.3424,0,0,1,0.1,0.05,0.213416
340,250,6.3139,0,0,1,0.1,0.05,0.20894
341,250,-9.9788,0,0,1,0.1,0.05,0.284303
342,250,11.0233,0,0,1,0.1,0.05,0.262516
343,250,4.1832,0,0,1,0.1,0.05,0.206586
344,250,12.6564,0,0,1,0.1,0.05,0.185555
345,250,-3.8539,0,0,1,0.1,0.05,0.180504
346,250,17.519,0,0,1,0.1,0.05,0.174572
