Episode,Baseline_D3QN_Reward,VLA_Guarded_Reward,Baseline_Success_Rate,VLA_Guarded_Success_Rate,Baseline_Outcome,VLA_Guarded_Outcome
181,1.0609,3.1412,0.14,0.28,timeout,timeout
182,8.4547,15.884,0.12,0.26,timeout,timeout
183,14.9069,8.8054,0.1,0.24,timeout,timeout
184,-14.3171,-5.6629,0.1,0.22,collision,collision
185,25.449,15.0677,0.12,0.22,success,timeout
186,16.4427,15.942,0.12,0.22,timeout,timeout
187,11.8122,15.752,0.1,0.2,timeout,timeout
188,3.555,3.8026,0.1,0.2,timeout,timeout
189,13.8958,12.9295,0.1,0.2,timeout,timeout
190,10.8318,13.2898,0.1,0.18,timeout,timeout
191,-9.9714,14.4643,0.1,0.18,timeout,timeout
192,16.7152,20.591,0.1,0.18,timeout,timeout
193,15.7439,16.1054,0.1,0.18,timeout,timeout
194,1.6436,13.5332,0.1,0.18,timeout,timeout
195,15.953,10.5636,0.08,0.16,timeout,timeout
196,25.0235,12.5041,0.1,0.16,success,timeout
197,7.7605,8.0849,0.1,0.16,timeout,timeout
198,27.5282,27.607,0.12,0.18,success,success
199,12.7256,-5.0158,0.12,0.18,timeout,collision
200,26.1839,25.8613,0.14,0.2,success,success
201,14.6328,15.7909,0.14,0.2,timeout,timeout
202,18.0305,18.3332,0.14,0.2,timeout,timeout
203,-18.3076,-6.936,0.14,0.2,collision,collision
204,25.9861,25.8233,0.16,0.22,success,success
205,5.1487,-10.2033,0.16,0.22,timeout,collision
206,12.6605,14.3111,0.16,0.22,timeout,timeout
207,11.0679,1.3618,0.16,0.22,timeout,timeout
208,11.554,9.8661,0.16,0.2,timeout,timeout
209,25.6326,25.9155,0.18,0.22,success,success
210,24.4677,23.8432,0.2,0.24,success,success
211,-17.1951,-0.6999,0.2,0.24,collision,collision
212,-1.6126,-4.9881,0.18,0.22,timeout,collision
213,15.8468,14.5601,0.18,0.2,timeout,timeout
214,27.2796,16.412,0.2,0.2,success,timeout
215,-3.9569,4.8285,0.2,0.2,collision,timeout
216,7.4331,17.3659,0.2,0.18,timeout,timeout
217,27.8942,16.2821,0.22,0.18,success,timeout
218,3.2363,14.2054,0.2,0.16,timeout,timeout
219,14.8516,19.6754,0.2,0.16,timeout,timeout
220,26.5085,14.9297,0.2,0.14,success,timeout
221,4.052,2.5129,0.2,0.12,timeout,timeout
222,25.505,14.0616,0.22,0.12,success,timeout
223,21.9491,20.8137,0.22,0.12,timeout,timeout
224,-0.048,17.5756,0.22,0.12,timeout,timeout
225,18.3667,19.3812,0.22,0.12,timeout,timeout
226,15.7983,27.5983,0.22,0.14,timeout,success
227,17.4096,17.0407,0.22,0.14,timeout,timeout
228,-6.7228,-9.3257,0.22,0.14,collision,timeout
229,4.7266,-6.3066,0.22,0.12,timeout,collision
230,0.1203,-6.7117,0.22,0.12,timeout,collision
231,1.7314,-5.6492,0.22,0.12,timeout,collision
232,10.0314,4.9417,0.22,0.12,timeout,timeout
233,-0.6844,3.2288,0.22,0.12,timeout,timeout
234,23.365,-7.9963,0.24,0.12,success,collision
235,12.9936,-0.3669,0.22,0.12,timeout,timeout
236,12.5595,-5.6635,0.22,0.12,timeout,collision
237,10.4164,22.4586,0.22,0.14,timeout,success
238,4.1864,13.0139,0.22,0.14,timeout,timeout
239,18.266,19.1813,0.22,0.14,timeout,timeout
240,10.6556,17.5058,0.22,0.14,timeout,timeout
241,8.7099,24.2258,0.22,0.16,timeout,success
242,14.827,20.2159,0.22,0.16,timeout,timeout
243,7.8362,-4.4429,0.22,0.16,timeout,collision
244,24.7902,14.2285,0.24,0.16,success,timeout
245,18.3707,-4.7705,0.24,0.16,timeout,collision
246,7.2847,1.2056,0.22,0.16,timeout,timeout
247,-4.6805,12.3735,0.22,0.16,timeout,timeout
248,15.9128,-8.5669,0.2,0.14,timeout,collision
249,10.4474,0.1001,0.2,0.14,timeout,timeout
250,3.0989,-21.031,0.18,0.12,timeout,collision
251,14.4167,14.1585,0.18,0.12,timeout,timeout
252,23.6662,23.6998,0.2,0.14,success,success
253,14.1469,24.5679,0.2,0.16,timeout,success
254,0.4746,-8.1895,0.18,0.14,timeout,collision
255,27.4752,27.8332,0.2,0.16,success,success
256,22.0604,11.1898,0.22,0.16,success,timeout
257,25.0763,25.485,0.24,0.18,success,success
258,4.478,12.6031,0.24,0.18,timeout,timeout
259,17.4062,-1.7353,0.22,0.16,timeout,collision
260,25.3036,12.4783,0.22,0.14,success,timeout
261,14.9563,4.4584,0.22,0.14,timeout,timeout
262,3.282,2.9064,0.22,0.14,timeout,timeout
263,12.3734,-1.4776,0.22,0.14,timeout,timeout
